file_name,document_id,extracted_text_snippet,personal_name,personal_dob,ID_pwd_validation,ID_autofill_name,Medical_cert_date_validation,Fit_to_Work_validation,Education_cert_name,Education_cert_issued_by,Education_cert_date_completed,Work_cert_job_title,Work_cert_company,Work_cert_location,Work_cert_description
Cert_1ApplicantTest.jpg,,"Si  CERTIFICATE of COMPLETION  This is to certify that  Juan Dela Cruz  has completed the course  Preparing Meat Dishes  on July 4, 2020 This is a computer generated certificate, it is valid even with",Juan Dela Cruz,,not found,,July,,has completed the course;Preparing Meat Dishes,TESDA,,,TESDA,,has completed the course;Preparing Meat Dishes
Cert_1ApplicantTest.pdf,,"Si  CERTIFICATE of COMPLETION  This is to certify that  Juan Dela Cruz  has completed the course  Preparing Meat Dishes  on July 4, 2020  This is a computer generated certificate, it is valid even wit",Juan Dela Cruz,,not found,,July,,has completed the course;Preparing Meat Dishes,TESDA,,,TESDA,,has completed the course;Preparing Meat Dishes
Cert_2ApplicantTest.jpg,,"&  CERTIFICATE of COMPLETION  This is to certify that  Juan Dela Cruz  has completed the course  Fundamentals of Professional Cookery  on  November 8, 2020  This is a computer generated certificate, i",Juan Dela Cruz,,not found,,November,,has completed the course;Fundamentals of Professional Cookery,,,,,,has completed the course;Fundamentals of Professional Cookery
Cert_2ApplicantTest.pdf,,"Si  CERTIFICATE of COMPLETION  This is to certify that  Juan Dela Cruz  has completed the course  Fundamentals of Professional Cookery  on November 8, 2020  This is a computer generated certificate, i",Juan Dela Cruz,,not found,,November,,has completed the course;Fundamentals of Professional Cookery,TESDA,,,TESDA,,has completed the course;Fundamentals of Professional Cookery
Cert_3ApplicantTest.jpg,,"GEOTECHNICS PHILIPPINES, INC.  119 Sauyo Road Novaliches Quezon City  CERTIFICATE OF COMPLETION  This certificate is hereby awarded to  Juan Dela Cruz  For having successfully completed the safety tra",CERTIFICATE OF COMPLETION,,valid,CERTIFICATE OF COMPLETION,,,For having successfully completed the safety training in:;Mandatory Eight-Hour Safety and Health Training for Workers;Occupational Safety and Health Standards and providing penalties for violations thereof” and Department;Safety/OSH training,,,,,,For having successfully completed the safety training in:;Mandatory Eight-Hour Safety and Health Training for Workers;Occupational Safety and Health Standards and providing penalties for violations thereof” and Department;Safety/OSH training
Cert_3ApplicantTest.pdf,,"GEOTECHNICS PHILIPPINES, INC.  119 Sauyo Road Novaliches Quezon City  CERTIFICATE OF COMPLETION  This certificate is hereby awarded to  Juan Dela Cruz  For having successfully completed the safety tra",CERTIFICATE OF COMPLETION,,valid,CERTIFICATE OF COMPLETION,,,For having successfully completed the safety training in:;Mandatory Eight-Hour Safety and Health Training for Workers;Occupational Safety and Health Standards and providing penalties for violations thereof” and Department;Safety/OSH training,,,,,,For having successfully completed the safety training in:;Mandatory Eight-Hour Safety and Health Training for Workers;Occupational Safety and Health Standards and providing penalties for violations thereof” and Department;Safety/OSH training
FitToWorkCert1_InvalidApplicantTest.pdf,,"Republic of the Philippines PROVINCE OF MISAMIS OCCIDENTAL Municipality of Baliangao 7211, Philippines  MUNICIPAL HEALTH OFFICE  Hotline No.  Fitness for Work Certificate  Purpose: This certificate is",PROVINCE OF MISAMIS OCCIDENTAL,"Juan Dela Cruz January 21, 2000",valid,PROVINCE OF MISAMIS OCCIDENTAL,January;March,not fit,,,,,,,
FitToWorkCert1_InvalidApplicantTest_page-0001.jpg,,"Republic of the Philippines PROVINCE OF MISAMIS OCCIDENTAL Municipality of Baliangao 7211, Philippines  MUNICIPAL HEALTH OFFICE  »_mho@yahoo.«  19-941 1/091  Hotline No-0'  Fitness for Work Certificat",PROVINCE OF MISAMIS OCCIDENTAL,"Juan Dela Cruz January 21, 2000",valid,PROVINCE OF MISAMIS OCCIDENTAL,January;March,not fit,,,,,,,
FitToWorkCert1_InvalidApplicantTest_page-0002.jpg,,"Recommended Review Date: March 12, 2027  Physician’s Declaration | hereby certify that | have personally examined the individual named above and that the above information is true and accurate to the ",,,not found,,March,,,,,,,,
FitToWorkCert1_ValidApplicantTest.pdf,,"Republic of the Philippines PROVINCE OF MISAMIS OCCIDENTAL Municipality of Baliangao 7211, Philippines  MUNICIPAL HEALTH OFFICE  al ahoo.con  Hotline No.  Fitness for Work Certificate  Purpose: This c",PROVINCE OF MISAMIS OCCIDENTAL,"Juan Dela Cruz January 21, 2000",valid,PROVINCE OF MISAMIS OCCIDENTAL,January;March,fit (conditional),,,,,,,
